hotel,arrival_date_year,arrival_date_month,arrival_date_day_of_month,adults,children,babies,customer_type,is_canceled,lead_time
Resort Hotel,2015,July,1,2,0,0,Transient,False,342
Resort Hotel,2015,July,1,2,0,0,Transient,False,737
Resort Hotel,2015,July,1,2,0,0,Transient,True,85
Resort Hotel,2015,July,1,2,0,0,Transient,True,75
Resort Hotel,2015,July,1,2,0,0,Transient,False,68
Resort Hotel,2015,July,1,2,0,0,Transient,False,68
Resort Hotel,2015,July,1,2,0,0,Transient,False,72
Resort Hotel,2015,July,1,2,0,0,Transient,False,72
Resort Hotel,2015,July,1,2,0,0,Transient,False,72
Resort Hotel,2015,July,1,2,0,0,Contract,False,127
Resort Hotel,2015,July,1,2,0,0,Transient,False,78
Resort Hotel,2015,July,1,2,0,0,Transient,True,60
Resort Hotel,2015,July,1,2,0,0,Transient,False,77
Resort Hotel,2015,July,1,2,0,0,Transient,False,99
Resort Hotel,2015,July,1,1,0,0,Transient,False,118
Resort Hotel,2015,July,1,2,0,0,Transient,False,95
Resort Hotel,2015,July,1,2,0,0,Transient,True,96
Resort Hotel,2015,July,2,2,0,0,Transient,False,69
Resort Hotel,2015,July,2,2,0,0,Transient,False,70
Resort Hotel,2015,July,2,2,0,0,Transient,False,70
Resort Hotel,2015,July,2,2,0,0,Transient,False,107
Resort Hotel,2015,July,2,2,0,0,Transient,False,96
Resort Hotel,2015,July,2,2,0,0,Transient-Party,False,113
Resort Hotel,2015,July,2,2,0,0,Contract,False,90
Resort Hotel,2015,July,2,2,0,0,Transient,False,50
Resort Hotel,2015,July,2,2,0,0,Transient-Party,False,113
Resort Hotel,2015,July,2,2,0,0,Contract,False,93
Resort Hotel,2015,July,2,2,0,0,Contract,False,76
Resort Hotel,2015,July,2,2,0,0,Contract,False,93
Resort Hotel,2015,July,3,2,0,0,Transient,False,51
Resort Hotel,2015,July,3,3,0,0,Transient,True,71
Resort Hotel,2015,July,3,2,0,0,Transient,True,63
Resort Hotel,2015,July,3,2,0,0,Transient,True,62
